010,RETURN TO BLOCKS (RTB) – NON-TECHNICAL,OPS
011,AIR TURNBACK (ATB) - OPERATIONAL,OPS
012,RETURN TO BLOCKS (RTB) - TECHNICAL,EAM
013,AIR TURNBACK (ATB) - TECHNICAL,EAM
020,FUELLING – ENGINEERS PROCEDURES,EAM
021,ENGINEERING CONTROLLED TECHNICAL EQUIPMENT,EAM
022,ENGINEERING STAFF SHORTAGE DUE ROSTERS,EAM
023,ENGINEERING STAFF SHORTAGE DUE SICKNESS,EAM
024,ENGINEERING ERRORS,EAM
025,ENGINEERING STAFF SHORTAGE DUE OFF-SCHEDULE OPERATIONS,EAM
026,LATE TOW DUE ENGINEER / EQUIPMENT,EAM
030,AIRPORT PROCEDURAL ERROR,APO
031,SHORTAGE OF BUSES FOR STAND-OFF OPERATION,APO
033,NO DELAY CODE ALLOCATED,APO
040,ASSESSED MEDICAL FITNESS TO TRAVEL/MEDLINK,MED
041,INVOLUNTARY MEDICAL OFFLOAD,MED
042,VOLUNTARY MEDICAL OFFLOAD AT CUSTOMER REQUEST,MED
050,DELAYED DEPARTURE DUE TO SAFETY OCCURRENCE / EVENT,SAF
060,NO GATE AVAILABLE DUE TO OWN AIRCRAFT,AIN
061,NO GATE AVAILABLE DUE TO OTHER CARRIER,AIN
090,SCHEDULE CONSTRAINT - INSUFFICIENT GROUND TIME,OPS
110,LATE CHECK-IN,APO
112,LATE CHECK-IN AFTER DEADLINE DUE RESERVATIONS / TICKETING ERROR,APO
114,LATE PROCESSING OF STAFF AND STANDBY CUSTOMER,APO
115,SERVICE DELIVERY IMPACTED BY STAFF SHORTAGES (OFF-SCHEDULE),APO
116,SERVICE DELIVERY IMPACTED BY STAFF SHORTAGES (ROSTERS),APO
117,SERVICE DELIVERY IMPACTED BY STAFF SHORTAGES (SICKNESS),APO
118,OPS CENTRE - CONSOLIDATION OF CUSTOMERS FROM OTHER CARRIERS,OPS
131,INTERCEPTING / EJECTING CABIN BAGS,BRD
132,CHECK-IN ERROR - CUSTOMERS & BAGS,APO
135,SELF-SERVICE CHECK-IN ERROR - CUSTOMERS & BAGS,APO
140,OVER SALES - CLEARING,COM
141,COMMERCIAL OPERATIONS PROCEDURAL ERROR,COM
142,RESERVATIONS ERROR,COM
150,BOARDING - SEARCH & LOCATE,BRD
151,BOARDING - OFFLOAD CUSTOMERS &/OR BAGS AT QF REQUEST,BRD
152,BOARDING - QANTAS CLUB / CHAIRMANS LOUNGE / VIP ROOM,BRD
153,BOARDING - OFFLOAD CUSTOMERS &/OR BAGS AT CUSTOMER REQUEST,BRD
160,APPROVED CUSTOMER CONVENIENCE,APO
161,SPECIAL HANDLING,BRD
162,WHEELCHAIRS - BOARDING 1 OR 2,BRD
163,WHEELCHAIRS - BOARDING 3+,BRD
164,UMNR - BOARDING 1 OR 2,BRD
165,UMNR- BOARDING 3+,BRD
166,INSTALLATION / REMOVAL OF APPROVED MEDICAL EQUIPMENT ONBOARD,MED
167,CUSTOMER CONVENIENCE ITEM - AS AUTHORISED BY PACE,EAM
168,OPS CENTRE APPROVED FOR CUSTOMER CONVENIENCE ITEM OUTSIDE PACE,OPS
210,FREIGHT & MAIL - INCOMPLETE DOCUMENTATION,FGT
211,FREIGHT & MAIL - INCORRECTLY PRESENTED,FGT
220,FREIGHT & MAIL - LATE POSITIONING,FGT
230,FREIGHT - LATE ACCEPTANCE (FREIGHT USE ONLY),FGT
240,FREIGHT & MAIL - INADEQUATE PACKING,FGT
250,FREIGHT & MAIL - OVER SALES,FGT
260,FREIGHT - LATE PREPARATION IN WAREHOUSE (FREIGHT USE ONLY),FGT
270,"MAIL - LATE DOCUMENTATION, PACKING, ETC. (FREIGHT USE ONLY)",FGT
280,MAIL - LATE POSITIONING (FREIGHT USE ONLY),FGT
290,MAIL - LATE ACCEPTANCE (FREIGHT USE ONLY),FGT
310,AIRCRAFT DOCUMENTS - LATE OR REVISED WEIGHT & BALANCE,LOC
313,REVISED BAGGAGE LOAD - INCLUDING RELOAD,LOC
314,LATE RAMP CLEARANCE TO LOAD CONTROL,ARH
315,BAGGAGE COUNT DISCREPANCY - SYSTEM / ACTUAL,ARH
320,LATE COMPLETION OF LOADING,ARH
321,LATE COMPLETION OF BAGGAGE MAKE-UP,ARH
323,RE-LOAD OVER STOWED FREIGHT - LOADING ERROR FROM UPLINE PORT,ARH
324,SPECIAL LOAD – NON FREIGHT,ARH
326,LATE COMPLETION OF LOADING DUE TO FREIGHT LOAD,ARH
329,RAMP PROCEDURAL ERROR,ARH
330,AGSE - SHORTAGE OF EQUIPMENT,ARH
331,AGSE - BREAKDOWN OF EQUIPMENT,ARH
332,SERVICE DELIVERY IMPACTED BY STAFF SHORTAGES (OFF-SCHEDULE),ARH
333,SERVICE DELIVERY IMPACTED BY STAFF SHORTAGES (ROSTERS),ARH
334,SERVICE DELIVERY IMPACTED BY STAFF SHORTAGES (SICKNESS),ARH
340,WATER / WASTE HANDLING,ARH
350,AIRCRAFT CLEANING - LATE OR INCOMPLETE,ACL
351,SERVICE DELIVERY IMPACTED BY STAFF SHORTAGES (OFF-SCHEDULE),ACL
352,SERVICE DELIVERY IMPACTED BY STAFF SHORTAGES (ROSTERS),ACL
353,SERVICE DELIVERY IMPACTED BY STAFF SHORTAGES (SICKNESS),ACL
354,VEHICLE SHORTAGE,ACL
355,VEHICLE BREAKDOWN,ACL
356,HEAVY CLEANING,ACL
357,AIRCRAFT CLEANING – PREVENTION OF ACCESS (OPS CENTRE USE ONLY),ACL
358,POOR QUALITY OR INADEQUATE SUPPLY OF LINEN,ACL
361,QANTAS/AIRPORT RELATED FUEL DELAY,GAS
363,OVERFUEL,GAS
364,FUEL DOCKET INCORRECT/MISSING/LATE,GAS
365,REFUELLER FAULT,GAS
370,CATERING – LATE OR INCOMPLETE,QCL
371,SERVICE DELIVERY IMPACTED BY STAFF SHORTAGES (OFF-SCHEDULE),QCL
372,SERVICE DELIVERY IMPACTED BY STAFF SHORTAGES (ROSTERS),QCL
373,SERVICE DELIVERY IMPACTED BY STAFF SHORTAGES (SICKNESS),QCL
374,VEHICLE SHORTAGE,QCL
375,VEHICLE BREAKDOWN,QCL
376,CATERING – PREVENTION OF ACCESS (OPS CENTRE USE ONLY),QCL
380,FREIGHT & MAIL – LACK OF SERVICEABLE ULD,FGT
381,ULD – UNSERVICEABLE (BAGGAGE ONLY),ARH
382,AIRCRAFT/RAMP HANDLING – PREVENTION OF ACCESS (OPS CENTRE USE ONLY),ARH
393,CHECKED BAGGAGE BULK OUT,LOC
396,LATE TOW DUE RAMP STAFF / EQUIPMENT,ARH
410,AIRCRAFT DEFECTS,EAM
411,CABIN DEFECTS,EAM
412,APU UNSERVICEABLE,EAM
414,ENGINEERING - PREVENTION OF ACCESS (OPS CENTRE USE ONLY),EAM
420,SCHEDULED MAINTENANCE - LATE RELEASE,EAM
421,LATE EX MAINTENANCE DUE LATE INBOUND AIRCRAFT,EAM
430,UNSCHEDULED MAINTENANCE,EAM
440,AIRCRAFT SPARES - ESTABLISHED,EAM
442,AIRCRAFT SPARES - NONE HELD AT DEPARTURE PORT,EAM
444,AIRCRAFT SPARES – UNSERVICEABLE OR FAILED ON FIT,EAM
446,AIRCRAFT SPARES – DELAYED DELIVERY,EAM
450,AIRCRAFT CARRIAGE REQUIREMENTS,EAM
460,AIRCRAFT CHANGE - TECHNICAL REASONS,EAM
510,AIRCRAFT DAMAGE - INFLIGHT & TAXI OPERATIONS,DAM
511,CABIN DAMAGE,DAM
512,AIRCRAFT CHANGE CONSEQUENCE OF DAMAGE,DAM
513,AIR TURN BACK (ATB) - DAMAGE,DAM
514,RETURN TO BLOCKS (RTB) - DAMAGE,DAM
520,AIRCRAFT DAMAGE - QF GROUND OPERATIONS,DAM
522,AIRCRAFT DAMAGE - NON QF GROUND OPERATIONS,DAM
580,AUTO SYSTEM EQUIPMENT FAILURE,AEF
610,FLIGHT PLAN - LATE OR INCOMPLETE,FOP
611,FLIGHT LIBRARY DISCREPANCY OR ERROR,FOP
622,OPERATIONS REQUIREMENTS - LOAD INCL FUEL REQUIREMENT,OPS
630,FLIGHT CREW LATE TO BOARD,FOP
631,FLIGHT CREW CHECKS AND DEPARTURE PROCEDURES,FOP
632,CREW MEL INTERPRETATION/PROCEDURES,FOP
634,LATE FLIGHT CREW TRANSPORT,FOP
640,FLIGHT CREW AVAILABILITY,FOP
641,FLIGHT CREW SICKNESS - AWAITING STANDBY CREW,FOP
642,FLIGHT CREW MANDATORY REST,FOP
650,FLIGHT CREW SPECIAL REQUEST (NOT WITHIN OPERATIONAL REQUIREMENTS),FOP
651,BOARDING HELD AT FLIGHT CREW REQUEST,FOP
652,CLARIFICATION OF DOCUMENTATION (LOADSHEET/NOTOC/GENDEC),FOP
654,FLIGHT CREW ENGINEERING REQUIREMENTS,FOP
660,CABIN CREW LATE TO AIRCRAFT,CCR
661,CABIN CREW GALLEY CHECKS & PRE-DEPARTURE PROCEDURES,CCR
662,CUSTOMER SEATING PROBLEM (ONBOARD),CCR
664,CABIN CREW LATE TO COMMENCE BOARDING,CCR
665,CABIN BAGGAGE STOWAGE,CCR
667,LATE CABIN CREW TRANSPORT,CCR
668,SECURITY HEAD COUNT OF CUSTOMER,CCR
670,CABIN CREW AVAILABILITY,CCR
671,CABIN CREW SICKNESS - AWAITING STANDBY CREW,CCR
672,CABIN CREW MANDATORY REST,CCR
680,CUSTOMERS SLOW TO DEBOARD,CCR
681,CABIN CREW REQUEST FOR CUSTOMER REQUIREMENTS/MANIFEST,CCR
685,CABIN CREW IMPEDING FISH BONE CLEANING,CCR
